companyname,companywebsite,companyemaildomain,linkedincompanypageurl,stocksymbol,industry,city,state,companycountry,zipcode
BEAT Music Fund,beatmusicfund.com,,,,,,,,
beatBread,beatbread.com,,https://www.linkedin.com/company/beatbread/,,,,,,
Bella Figura Music,bellafiguramusic.com,,https://www.linkedin.com/company/bellafiguramusic/,,,,,,
Beyond Music,beyondmusic.io,,,,,,,,
CTM Outlander,ctm.nl,,https://www.linkedin.com/company/5130506/,,,,,,
Duetti,duetti.co,,https://www.linkedin.com/company/duetti/,,,,,,
Firebird Music,firebirdmusic.com,,https://www.linkedin.com/company/wearefirebird/,,,,,,
GoldState Music,goldstate.com,,,,,,,,
HarbourView Equity Partners,harbourviewequity.com,,https://www.linkedin.com/company/harbourview/,,,,,,
Influence Media Partners,influencemediapartners.com,,https://www.linkedin.com/company/influence-media-partners,,,,,,
Litmus Music,litmusmusic.com,,,,,,,,
Lyric Capital Group,lyriccapitalgroup.com,,https://www.linkedin.com/company/lyriccapitalgroup,,,,,,
Multimedia Music,multimediamusic.com,,,,,,,,
MusicBird,musicbird.com,,,,,,,,
Pophouse,pophouse.se,,,,,,,,
Pythagoras Music Fund,pythagorasmusicfund.com,,https://www.linkedin.com/company/pythagoras-music-fund/,,,,,,
Rezonate Music Rights,rezonatemusicrights.com,,https://www.linkedin.com/company/rezonate-music-rights/,,,,,,
Round Hill Music,roundhillmusic.com,,,,,,,,
Royalty Access Studio,royaltyaccessstudio.com,,,,,,,,
Shamrock Capital,shamrockcap.com,,,,,,,,
SNAFU,snafurecords.com,,,,,,,,
Sound Royalties,soundroyalties.com,,,,,,,,
EICO Music Fund,eicofunds.com,,https://www.linkedin.com/company/eico-funds-sicav-plc/,,,,,,
MNP Music Fund,mnpmusicfund.com,,,,,,,,
Larrosa,larrosa.pro,,,,,,,,
Tempo Music,tempomusic.com,,https://www.linkedin.com/company/tempomusic/,,,,,,
