companyname,companywebsite,companyemaildomain,linkedincompanypageurl,stocksymbol,industry,city,state,companycountry,zipcode
Apollo Global Management,apollo.com,,,,,,,,
Ares Management,aresmgmt.com,,,,,,,,
Bain Capital,baincapital.com,,https://www.linkedin.com/company/bain-capital/,,,,,,
Bridgepoint,bridgepointgroup.com,,,,,,,,
ICM Asset Management,icmassetmanagement.com,,https://www.linkedin.com/company/icmassetmgmt/,,,,,,
M&G,mandg.com,,,,,,,,
Northleaf Capital Partners,northleafcapital.com,,,,,,,,
Searchlight Capital Partners,searchlightcap.com,,,,,,,,
GIC,gic.com.sg,,,,,,,,
MUSIC,musicinv.com,,https://www.linkedin.com/company/musicinv,,,,,,
